"","id","name_prokka","name_eggnog","product_prokka","function_eggnog","kegg_ko"
"17","ACIGNDMM_00017","ilvC_1","ilvC","Ketol-acid reductoisomerase (NADP(+))","Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate","ko:K00053"
"18","ACIGNDMM_00018","ilvB_1","ilvI","Acetolactate synthase large subunit","Thiamine pyrophosphate enzyme, N-terminal TPP binding domain","ko:K01652"
"19","ACIGNDMM_00019","dnaA","dnaA","Chromosomal replication initiator protein DnaA","it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids","ko:K02313"
"20","ACIGNDMM_00020","dnaN","dnaN","DNA polymerase III subunit beta","Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria","ko:K02338"
"21","ACIGNDMM_00021","gyrB","gyrB","DNA gyrase subunit B","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner","ko:K02470"
"22","ACIGNDMM_00022","gyrA","gyrA","DNA gyrase subunit A","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner","ko:K02469,ko:K02621"
"23","ACIGNDMM_00023","bamD_1",NA,"Outer membrane protein assembly factor BamD",NA,NA
"24","ACIGNDMM_00024","queE","queE","7-carboxy-7-deazaguanine synthase","Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds","ko:K04068,ko:K10026"
"25","ACIGNDMM_00025","queC","queC","7-cyano-7-deazaguanine synthase","Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))","ko:K06920"
"26","ACIGNDMM_00026","pepA","pepA","Cytosol aminopeptidase","Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides","ko:K01255,ko:K01259"
"27","ACIGNDMM_00027","smpB","smpB","SsrA-binding protein","the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA","ko:K03664"
"28","ACIGNDMM_00028","ssrA",NA,"transfer-messenger RNA%2C SsrA",NA,NA
"29","ACIGNDMM_00029",NA,"","putative methyltransferase","Methyltransferase domain",""
"30","ACIGNDMM_00030",NA,"","hypothetical protein","",""
"31","ACIGNDMM_00031","ybaQ_1","higA","putative HTH-type transcriptional regulator YbaQ","TIGRFAM Addiction module antidote protein, HigA","ko:K21498"
"32","ACIGNDMM_00032",NA,"","hypothetical protein","Transposase","ko:K07483,ko:K07497"
"33","ACIGNDMM_00033",NA,"","hypothetical protein","PFAM Integrase catalytic region","ko:K07497"
"34","ACIGNDMM_00034","higB-1","","Toxin HigB-1","PFAM Plasmid maintenance system killer","ko:K07334"
"35","ACIGNDMM_00035",NA,"","hypothetical protein","",""
"36","ACIGNDMM_00036",NA,"eamA1","hypothetical protein","spore germination",""
"37","ACIGNDMM_00037","leuA_2","leuA","2-isopropylmalate synthase","Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)","ko:K01649"
"38","ACIGNDMM_00038","lrp","lrp_2","Leucine-responsive regulatory protein","AsnC-type helix-turn-helix domain","ko:K03719"
"39","ACIGNDMM_00039",NA,"","hypothetical protein","COG3806 Anti-sigma factor",""
"40","ACIGNDMM_00040","adhT","","Alcohol dehydrogenase","Zinc-binding dehydrogenase",""
"41","ACIGNDMM_00041",NA,"rssA","putative NTE family protein","Esterase of the alpha-beta hydrolase superfamily","ko:K07001"
"42","ACIGNDMM_00042",NA,"","3'3'-cGAMP-specific phosphodiesterase 3","HD domain",""
"43","ACIGNDMM_00043","mutT2","nudG","Putative 8-oxo-dGTP diphosphatase 2","NUDIX domain","ko:K03574,ko:K08320"
"44","ACIGNDMM_00044","radD","recQ1","Putative DNA repair helicase RadD","type III restriction enzyme, res subunit",""
"45","ACIGNDMM_00045",NA,"","hypothetical protein","Iron-binding zinc finger CDGSH type","ko:K05710"
"46","ACIGNDMM_00046",NA,NA,"hypothetical protein",NA,NA
"47","ACIGNDMM_00047","dosC","","Diguanylate cyclase DosC","diguanylate cyclase activity","ko:K03168"
"48","ACIGNDMM_00048","mtcA1","cah","Beta-carbonic anhydrase 1","reversible hydration of carbon dioxide","ko:K01673"
"49","ACIGNDMM_00049","sqr","sqr","Sulfide-quinone reductase","Pyridine nucleotide-disulphide oxidoreductase","ko:K17218"
"50","ACIGNDMM_00050",NA,"","hypothetical protein","Protein of unknown function (DUF3443)",""
"51","ACIGNDMM_00051",NA,"","hypothetical protein","Protein of unknown function (DUF2844)",""
"52","ACIGNDMM_00052","yjcC","M1-600","Putative cyclic-di-GMP phosphodiesterase YjcC","Putative diguanylate phosphodiesterase",""
"53","ACIGNDMM_00053","queA","queA","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)","ko:K07568"
"54","ACIGNDMM_00054","ubiE_1","","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE","ubiE/COQ5 methyltransferase family",""
"55","ACIGNDMM_00055",NA,NA,"hypothetical protein",NA,NA
"56","ACIGNDMM_00056",NA,"","hypothetical protein","MarC family integral membrane protein","ko:K05595"
"57","ACIGNDMM_00057",NA,NA,"hypothetical protein",NA,NA
"58","ACIGNDMM_00058",NA,NA,"hypothetical protein",NA,NA
"59","ACIGNDMM_00059","resE","ntrY","Sensor histidine kinase ResE","GHKL domain","ko:K13598"
"60","ACIGNDMM_00060","zraR_1","ntrX","Transcriptional regulatory protein ZraR","Bacterial regulatory protein, Fis family","ko:K02481,ko:K13599"
"61","ACIGNDMM_00061","fabH_1","fabH","3-oxoacyl-[acyl-carrier-protein] synthase 3","Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids","ko:K00648"
"62","ACIGNDMM_00062","bamD_2","bamD","Outer membrane protein assembly factor BamD","Tetratricopeptide repeat","ko:K05807,ko:K08309"
"63","ACIGNDMM_00063","sirC","cysG","Precorrin-2 dehydrogenase","Siroheme synthase","ko:K02304"
"64","ACIGNDMM_00064",NA,NA,"hypothetical protein",NA,NA
"65","ACIGNDMM_00065",NA,NA,"tRNA-Leu(gag)",NA,NA
"66","ACIGNDMM_00066","bdlA_1","","Biofilm dispersion protein BdlA","Chemoreceptor zinc-binding domain",""
"67","ACIGNDMM_00067","pyrE_1","pyrE","Orotate phosphoribosyltransferase","Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)","ko:K00762"
"68","ACIGNDMM_00068",NA,NA,"hypothetical protein",NA,NA
"69","ACIGNDMM_00069","mrcA","mrcA","Penicillin-binding protein 1A","Penicillin-binding protein OB-like domain","ko:K05366"
"70","ACIGNDMM_00070","gap","epd","Glyceraldehyde-3-phosphate dehydrogenase","Belongs to the glyceraldehyde-3-phosphate dehydrogenase family","ko:K00134,ko:K01596,ko:K03472"
"71","ACIGNDMM_00071","pgk","pgk","Phosphoglycerate kinase","Phosphoglycerate kinase","ko:K00927,ko:K01803"
"72","ACIGNDMM_00072","tpiA","tpiA","Triosephosphate isomerase","Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)","ko:K01803"
"73","ACIGNDMM_00073","secG","secG","Protein-export membrane protein SecG","Preprotein translocase SecG subunit","ko:K03075"
"74","ACIGNDMM_00074",NA,"appA","putative ABC transporter-binding protein","Bacterial extracellular solute-binding proteins, family 5 Middle","ko:K02035"
"75","ACIGNDMM_00075","dppB_1","agpB","Dipeptide transport system permease protein DppB","Binding-protein-dependent transport system inner membrane component","ko:K00759,ko:K02033"
"76","ACIGNDMM_00076","oppC_1","oppC","Oligopeptide transport system permease protein OppC","Binding-protein-dependent transport system inner membrane component","ko:K02031,ko:K02034,ko:K15582"
"77","ACIGNDMM_00077","gph_1","gph","Phosphoglycolate phosphatase","HAD-hyrolase-like","ko:K01091"
"78","ACIGNDMM_00078",NA,NA,"hypothetical protein",NA,NA
"79","ACIGNDMM_00079",NA,NA,"hypothetical protein",NA,NA
"80","ACIGNDMM_00080","atpB","atpB","ATP synthase subunit a","it plays a direct role in the translocation of protons across the membrane","ko:K02108"
"81","ACIGNDMM_00081","atpE","atpE","ATP synthase subunit c%2C sodium ion specific","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation","ko:K02110,ko:K02124"
"82","ACIGNDMM_00082","atpF","atpF","ATP synthase subunit b%2C sodium ion specific","Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)","ko:K02109"
"83","ACIGNDMM_00083","atpH","atpH","ATP synthase subunit delta","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation","ko:K02109,ko:K02113"
"84","ACIGNDMM_00084","atpA","atpA","ATP synthase subunit alpha","Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit","ko:K02111"
"85","ACIGNDMM_00085","atpG","atpG","ATP synthase gamma chain","Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex","ko:K02115"
"86","ACIGNDMM_00086","atpD1","atpD","ATP synthase subunit beta 1","Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits","ko:K02112"
"87","ACIGNDMM_00087","atpC","atpC","ATP synthase epsilon chain","Produces ATP from ADP in the presence of a proton gradient across the membrane","ko:K02114"
"88","ACIGNDMM_00088","gloC","","Hydroxyacylglutathione hydrolase GloC","Metallo-beta-lactamase superfamily","ko:K00219,ko:K01069"
"89","ACIGNDMM_00089",NA,NA,"hypothetical protein",NA,NA
"90","ACIGNDMM_00090",NA,NA,"tRNA-Pro(tgg)",NA,NA
"91","ACIGNDMM_00091",NA,"lpoB","hypothetical protein","Peptidoglycan-synthase activator LpoB","ko:K07337,ko:K21008"
"92","ACIGNDMM_00092","arlR","","Response regulator ArlR","Transcriptional regulatory protein, C terminal",""
"93","ACIGNDMM_00093","walK","","Sensor protein kinase WalK","PhoQ Sensor",""
"94","ACIGNDMM_00094",NA,NA,"hypothetical protein",NA,NA
"95","ACIGNDMM_00095","bamB_1","","Outer membrane protein assembly factor BamB","amino acid activation for nonribosomal peptide biosynthetic process","ko:K03651,ko:K05889,ko:K12132,ko:K17713"
"96","ACIGNDMM_00096","clcD","","Carboxymethylenebutenolidase","Alpha/beta hydrolase family","ko:K01061"
"97","ACIGNDMM_00097",NA,"","hypothetical protein","Major facilitator superfamily",""
"98","ACIGNDMM_00098","lpxH","lpxH","UDP-2%2C3-diacylglucosamine hydrolase","Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell","ko:K03269"
"99","ACIGNDMM_00099","ugtP","ugtP","Processive diacylglycerol beta-glucosyltransferase","Monogalactosyldiacylglycerol (MGDG) synthase","ko:K03429"
"100","ACIGNDMM_00100",NA,NA,"hypothetical protein",NA,NA
"101","ACIGNDMM_00101","gloA","gloA","Lactoylglutathione lyase","Glyoxalase-like domain","ko:K01759,ko:K15772"
"102","ACIGNDMM_00102","acsA","acs","Acetyl-coenzyme A synthetase","Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA","ko:K01895"
"103","ACIGNDMM_00103","thiG","thiG","Thiazole synthase","Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S","ko:K03149"
"104","ACIGNDMM_00104","tenI","thiE","Thiazole tautomerase","Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)","ko:K00788,ko:K14153"
"105","ACIGNDMM_00105","mepM_1","","Murein DD-endopeptidase MepM","Peptidase family M23",""
"106","ACIGNDMM_00106","thiD","thiD","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","Phosphomethylpyrimidine kinase","ko:K00941"
"107","ACIGNDMM_00107","dosP","","Oxygen sensor protein DosP","Evidence 5 No homology to any previously reported sequences",""
"108","ACIGNDMM_00108","thrZ","thrS","Threonine--tRNA ligase 2","Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)","ko:K01868"
"109","ACIGNDMM_00109","infC","infC","Translation initiation factor IF-3","Translation initiation factor IF-3, C-terminal domain","ko:K02520"
"110","ACIGNDMM_00110","rpmI","rpmI","50S ribosomal protein L35","Belongs to the bacterial ribosomal protein bL35 family","ko:K02916"
"111","ACIGNDMM_00111","rplT","rplT","50S ribosomal protein L20","Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit","ko:K02887"
"112","ACIGNDMM_00112","pheT","pheT","Phenylalanine--tRNA ligase beta subunit","B3/4 domain","ko:K01889,ko:K01890"
"113","ACIGNDMM_00113","pheS","pheS","Phenylalanine--tRNA ligase alpha subunit","Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type","ko:K01889"
"114","ACIGNDMM_00114","oppF","","Oligopeptide transport ATP-binding protein OppF","Oligopeptide/dipeptide transporter, C-terminal region","ko:K02031,ko:K02032"
"115","ACIGNDMM_00115",NA,"oppD","putative ABC transporter ATP-binding protein","Oligopeptide/dipeptide transporter, C-terminal region","ko:K02031,ko:K02032,ko:K02034,ko:K15583"
"116","ACIGNDMM_00116","queD","queD","6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase","6-pyruvoyl tetrahydropterin synthase","ko:K01737"
"117","ACIGNDMM_00117",NA,NA,"hypothetical protein",NA,NA
"118","ACIGNDMM_00118",NA,"","Ycf48-like protein","cellulose binding",""
"119","ACIGNDMM_00119","fur","fur","Ferric uptake regulation protein","Belongs to the Fur family","ko:K03711"
"120","ACIGNDMM_00120","rplU","rplU","50S ribosomal protein L21","This protein binds to 23S rRNA in the presence of protein L20","ko:K02888"
"121","ACIGNDMM_00121","rpmA","rpmA","50S ribosomal protein L27","Belongs to the bacterial ribosomal protein bL27 family","ko:K02899"
"122","ACIGNDMM_00122","obg","obg","GTPase Obg","An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control","ko:K03979"
"123","ACIGNDMM_00123","proB","proB","Glutamate 5-kinase","Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate","ko:K00931"
"124","ACIGNDMM_00124","proA","proA","Gamma-glutamyl phosphate reductase","Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate","ko:K00147,ko:K15515"
"125","ACIGNDMM_00125","nadD","nadD","Nicotinate-nucleotide adenylyltransferase","Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)","ko:K00969,ko:K03574"
"126","ACIGNDMM_00126","rsfS","rsfS","Ribosomal silencing factor RsfS","Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation","ko:K00969,ko:K09710"
"127","ACIGNDMM_00127","lapB_1","","Lipopolysaccharide assembly protein B","Tetratricopeptide repeat","ko:K19804"
"128","ACIGNDMM_00128","pyrE_2","comF","Orotate phosphoribosyltransferase","competence protein","ko:K02242"
"129","ACIGNDMM_00129","dinG","dinG","putative ATP-dependent helicase DinG","ATP-dependent helicase activity","ko:K03722"
"130","ACIGNDMM_00130","cmpR_1","","HTH-type transcriptional activator CmpR","Transcriptional regulator, LysR family",""
"131","ACIGNDMM_00131",NA,"","hypothetical protein","AAA domain, putative AbiEii toxin, Type IV TA system",""
"132","ACIGNDMM_00132",NA,"","hypothetical protein","",""
"133","ACIGNDMM_00133","yccA","yccA","Modulator of FtsH protease YccA","Belongs to the BI1 family","ko:K06890,ko:K19416"
"134","ACIGNDMM_00134","ilvE_1","ilvE","Branched-chain-amino-acid aminotransferase","Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family","ko:K00826"
"135","ACIGNDMM_00135","polA","polA","DNA polymerase I%2C thermostable","In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity","ko:K02335"
"136","ACIGNDMM_00136",NA,NA,"hypothetical protein",NA,NA
"137","ACIGNDMM_00137",NA,NA,"hypothetical protein",NA,NA
"138","ACIGNDMM_00138","coaE","coaE","Dephospho-CoA kinase","Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A","ko:K00859"
"139","ACIGNDMM_00139","gtaB_1","galU","UTP--glucose-1-phosphate uridylyltransferase","Nucleotidyl transferase","ko:K00963"
"140","ACIGNDMM_00140","lon","lon","Lon protease","ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner","ko:K01338"
"141","ACIGNDMM_00141","thiL","thiL","Thiamine-monophosphate kinase","Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1","ko:K00946"
"142","ACIGNDMM_00142",NA,"","hypothetical protein","Uncharacterized protein conserved in bacteria (DUF2062)","ko:K09928"
"143","ACIGNDMM_00143","pal_1","pal","Peptidoglycan-associated lipoprotein","Belongs to the ompA family","ko:K03640"
"144","ACIGNDMM_00144","pal_2","pal","Peptidoglycan-associated lipoprotein","Belongs to the ompA family","ko:K03640"
"145","ACIGNDMM_00145",NA,NA,"hypothetical protein",NA,NA
"146","ACIGNDMM_00146","rnr","rnr","Ribonuclease R","3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs","ko:K12573"
"147","ACIGNDMM_00147",NA,NA,"hypothetical protein",NA,NA
"148","ACIGNDMM_00148",NA,NA,"hypothetical protein",NA,NA
"149","ACIGNDMM_00149",NA,NA,"hypothetical protein",NA,NA
"150","ACIGNDMM_00150",NA,"udgB","hypothetical protein","Uracil DNA glycosylase superfamily","ko:K21929"
"151","ACIGNDMM_00151",NA,"","Light-activated DNA-binding protein EL222","response regulator",""
"152","ACIGNDMM_00152",NA,NA,"hypothetical protein",NA,NA
"153","ACIGNDMM_00153",NA,"","hypothetical protein","PFAM SMP-30 Gluconolaconase",""
"154","ACIGNDMM_00154",NA,NA,"tRNA-Met(cat)",NA,NA
"155","ACIGNDMM_00155","lpd","lpdA","Dihydrolipoyl dehydrogenase","Evidence 2a Function of homologous gene experimentally demonstrated in an other organism","ko:K00382,ko:K00520"
"156","ACIGNDMM_00156",NA,NA,"hypothetical protein",NA,NA
"157","ACIGNDMM_00157",NA,NA,"hypothetical protein",NA,NA
"158","ACIGNDMM_00158","sapM","","Phosphatidylinositol-3-phosphatase","Phosphoesterase family",""
"159","ACIGNDMM_00159",NA,NA,"hypothetical protein",NA,NA
"160","ACIGNDMM_00160",NA,"","hypothetical protein","Belongs to the sulfur carrier protein TusA family",""
"161","ACIGNDMM_00161","tusA_1","","Sulfurtransferase TusA","sulfur carrier activity",""
"162","ACIGNDMM_00162",NA,"","3'3'-cGAMP-specific phosphodiesterase 2","Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology",""
"163","ACIGNDMM_00163","trpD","","Anthranilate phosphoribosyltransferase","Glycosyl transferase family, a/b domain",""
"164","ACIGNDMM_00164","mazG","mazG","Nucleoside triphosphate pyrophosphohydrolase","MazG nucleotide pyrophosphohydrolase domain","ko:K02428,ko:K02499,ko:K04765"
"165","ACIGNDMM_00165",NA,NA,"hypothetical protein",NA,NA
"166","ACIGNDMM_00166","mopR","","Phenol regulator MopR","transcription factor binding",""
"167","ACIGNDMM_00167",NA,NA,"tRNA-Ser(cga)",NA,NA
"168","ACIGNDMM_00168",NA,NA,"hypothetical protein",NA,NA
"169","ACIGNDMM_00169",NA,NA,"tRNA-Ser(tga)",NA,NA
"170","ACIGNDMM_00170",NA,NA,"tRNA-Ser(gct)",NA,NA
"171","ACIGNDMM_00171","mscK","kefA","Mechanosensitive channel MscK","Mechanosensitive ion channel","ko:K05802,ko:K22051"
"172","ACIGNDMM_00172","prfC","prfC","Peptide chain release factor 3","Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP","ko:K02837,ko:K07133"
"173","ACIGNDMM_00173","recR","recR","Recombination protein RecR","May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO","ko:K06187"
"174","ACIGNDMM_00174",NA,"yaaK","Nucleoid-associated protein","Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection","ko:K09747"
"175","ACIGNDMM_00175","dnaX_1","dnaX","DNA polymerase III subunit tau","DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity","ko:K01885,ko:K02341,ko:K02343"
"176","ACIGNDMM_00176",NA,NA,"tRNA-Ser(gga)",NA,NA
"177","ACIGNDMM_00177",NA,NA,"hypothetical protein",NA,NA
"178","ACIGNDMM_00178",NA,NA,"hypothetical protein",NA,NA
"179","ACIGNDMM_00179",NA,"","hypothetical protein","Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions. Accepts sulfur from TusA and transfers it in turn to TusE","ko:K07235"
"180","ACIGNDMM_00180","tusA_2","tusA","Sulfurtransferase TusA","Sulfurtransferase TusA","ko:K00392"
"181","ACIGNDMM_00181",NA,NA,"hypothetical protein",NA,NA
"182","ACIGNDMM_00182",NA,"","hypothetical protein","Domain of unknown function (DUF374)","ko:K09778"
"183","ACIGNDMM_00183",NA,"","hypothetical protein","Domain of unknown function (DUF374)","ko:K09778"
"184","ACIGNDMM_00184",NA,NA,"hypothetical protein",NA,NA
